date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:56:39	113/113	---M-Z	200	added ('OK')	text/plain	etag:%225c5f93169a54f44c892d09dd623202f4%22	https://passionate-emails-109921.framer.app/robots.txt		(from )
17:56:40	296818/296818	---M-Z	200	added ('OK')	text/html	etag:%22097be6d264e2121e7329566a94939e1e%22	https://passionate-emails-109921.framer.app/	C:/Users/ASUS/Desktop/VS%20CODE/FRAMER/Portfolio/portfolio/passionate-emails-109921.framer.app/index.html	(from )
17:56:40	776/776	---MC-	200	added ('OK')	image/png	etag:%22ec08997595bd661e5c7878b8350f9cb5%22	https://framerusercontent.com/images/2D07d9xTm1xVS2o18DpSHDlr20.png	C:/Users/ASUS/Desktop/VS%20CODE/FRAMER/Portfolio/portfolio/framerusercontent.com/images/2D07d9xTm1xVS2o18DpSHDlr20.png	(from https://passionate-emails-109921.framer.app/)
17:56:42	194000/194000	---M-Z	200	added ('OK')	text/html	etag:%22dd9e2a2b2433cf848d366e808bf8ff85%22	https://passionate-emails-109921.framer.app/projects/pixel-pathway	C:/Users/ASUS/Desktop/VS%20CODE/FRAMER/Portfolio/portfolio/passionate-emails-109921.framer.app/projects/pixel-pathway.html	(from https://passionate-emails-109921.framer.app/)
17:56:42	101373/101373	---M-Z	404	error ('Not%20Found')	text/html	etag:%22eb41b8ca57b195e846a6877382c44444%22	https://passionate-emails-109921.framer.app/[object%20Object]	C:/Users/ASUS/Desktop/VS%20CODE/FRAMER/Portfolio/portfolio/passionate-emails-109921.framer.app/[object%20Object].2.delayed	(from https://passionate-emails-109921.framer.app/)
17:56:42	64280/64280	---MC-	200	added ('OK')	image/jpeg	etag:%2255a3ac1f1d0ed1f04f164ae08d7ac669%22	https://framerusercontent.com/images/MkkkBPjnjBiJYQ7Y8vHigj6I.jpeg	C:/Users/ASUS/Desktop/VS%20CODE/FRAMER/Portfolio/portfolio/framerusercontent.com/images/MkkkBPjnjBiJYQ7Y8vHigj6I.jpg	(from https://passionate-emails-109921.framer.app/)
17:56:44	539432/539432	---M-Z	200	added ('OK')	text/html	etag:%225e038a86708405ddfb8ccf6d32782906%22	https://passionate-emails-109921.framer.app/projects/flowstate	C:/Users/ASUS/Desktop/VS%20CODE/FRAMER/Portfolio/portfolio/passionate-emails-109921.framer.app/projects/flowstate.html	(from https://passionate-emails-109921.framer.app/)
17:56:44	212655/212655	---MC-	200	added ('OK')	image/jpeg	etag:%2229b6b33dfc489854944390b79032edbd%22	https://framerusercontent.com/images/GuAok0jBiNWN6PM8hPvuqQPBuo.jpeg	C:/Users/ASUS/Desktop/VS%20CODE/FRAMER/Portfolio/portfolio/framerusercontent.com/images/GuAok0jBiNWN6PM8hPvuqQPBuo.jpg	(from https://passionate-emails-109921.framer.app/)
17:56:45	539432/539432	---M-Z	200	added ('OK')	text/html	etag:%225e038a86708405ddfb8ccf6d32782906%22	https://passionate-emails-109921.framer.app/projects/flowstate-copy	C:/Users/ASUS/Desktop/VS%20CODE/FRAMER/Portfolio/portfolio/passionate-emails-109921.framer.app/projects/flowstate-copy.html	(from https://passionate-emails-109921.framer.app/)
17:56:45	436702/436702	---MC-	200	added ('OK')	image/jpeg	etag:%22ba08bd914632ad6ea439b9f7ef769389%22	https://framerusercontent.com/images/Afj2AxNgFo0T3qEzIdyZfjnj7o.jpeg	C:/Users/ASUS/Desktop/VS%20CODE/FRAMER/Portfolio/portfolio/framerusercontent.com/images/Afj2AxNgFo0T3qEzIdyZfjnj7o.jpg	(from https://passionate-emails-109921.framer.app/)
17:56:46	539432/539432	---M-Z	200	added ('OK')	text/html	etag:%225e038a86708405ddfb8ccf6d32782906%22	https://passionate-emails-109921.framer.app/projects/ux-horizon	C:/Users/ASUS/Desktop/VS%20CODE/FRAMER/Portfolio/portfolio/passionate-emails-109921.framer.app/projects/ux-horizon.html	(from https://passionate-emails-109921.framer.app/)
